0 <= x < 18870; y = 36.894964 + 0.012363x; least-squares 
 0 <= x < 30; 	 y_0 =  82.0000 + -0.5667x		interpolation 
960 <= x < 990; 	 y_32 =  433.0000 + -0.3667x		interpolation 
990 <= x < 1020; 	 y_33 =  -326.0000 + 0.4000x		interpolation 
1020 <= x < 1050; 	 y_34 =  456.0000 + -0.3667x		interpolation 
1050 <= x < 1080; 	 y_35 =  -174.0000 + 0.2333x		interpolation 
1080 <= x < 1110; 	 y_36 =  330.0000 + -0.2333x		interpolation 
1110 <= x < 1140; 	 y_37 =  -40.0000 + 0.1000x		interpolation 
1140 <= x < 1170; 	 y_38 =  -268.0000 + 0.3000x		interpolation 
1170 <= x < 1200; 	 y_39 =  434.0000 + -0.3000x		interpolation 
1200 <= x < 1230; 	 y_40 =  194.0000 + -0.1000x		interpolation 
1230 <= x < 1260; 	 y_41 =  -93.0000 + 0.1333x		interpolation 
1260 <= x < 1290; 	 y_42 =  243.0000 + -0.1333x		interpolation 
1290 <= x < 1320; 	 y_43 =  -101.0000 + 0.1333x		interpolation 
1320 <= x < 1350; 	 y_44 =  -365.0000 + 0.3333x		interpolation 
1350 <= x < 1380; 	 y_45 =  85.0000 + 0.0000x		interpolation 
1380 <= x < 1410; 	 y_46 =  -53.0000 + 0.1000x		interpolation 
1410 <= x < 1440; 	 y_47 =  229.0000 + -0.1000x		interpolation 
1440 <= x < 1470; 	 y_48 =  133.0000 + -0.0333x		interpolation 
1470 <= x < 1500; 	 y_49 =  280.0000 + -0.1333x		interpolation 
1500 <= x < 1530; 	 y_50 =  730.0000 + -0.4333x		interpolation 
1530 <= x < 1560; 	 y_51 =  -137.0000 + 0.1333x		interpolation 
1560 <= x < 1590; 	 y_52 =  71.0000 + 0.0000x		interpolation 
1590 <= x < 1620; 	 y_53 =  -247.0000 + 0.2000x		interpolation 
1620 <= x < 1650; 	 y_54 =  509.0000 + -0.2667x		interpolation 
1650 <= x < 1680; 	 y_55 =  14.0000 + 0.0333x		interpolation 
1680 <= x < 1710; 	 y_56 =  14.0000 + 0.0333x		interpolation 
1710 <= x < 1740; 	 y_57 =  71.0000 + 0.0000x		interpolation 
1740 <= x < 1770; 	 y_58 =  71.0000 + 0.0000x		interpolation 
1770 <= x < 1800; 	 y_59 =  189.0000 + -0.0667x		interpolation 
1800 <= x < 1830; 	 y_60 =  -1071.0000 + 0.6333x		interpolation 
1830 <= x < 1860; 	 y_61 =  1125.0000 + -0.5667x		interpolation 
1860 <= x < 1890; 	 y_62 =  71.0000 + 0.0000x		interpolation 
1890 <= x < 1920; 	 y_63 =  -1126.0000 + 0.6333x		interpolation 
1920 <= x < 1950; 	 y_64 =  1306.0000 + -0.6333x		interpolation 
1950 <= x < 1980; 	 y_65 =  -969.0000 + 0.5333x		interpolation 
1980 <= x < 2010; 	 y_66 =  153.0000 + -0.0333x		interpolation 
2010 <= x < 2040; 	 y_67 =  19.0000 + 0.0333x		interpolation 
2040 <= x < 2070; 	 y_68 =  1175.0000 + -0.5333x		interpolation 
2070 <= x < 2100; 	 y_69 =  278.0000 + -0.1000x		interpolation 
2100 <= x < 2130; 	 y_70 =  -142.0000 + 0.1000x		interpolation 
2130 <= x < 2160; 	 y_71 =  213.0000 + -0.0667x		interpolation 
2160 <= x < 2190; 	 y_72 =  69.0000 + 0.0000x		interpolation 
2190 <= x < 2220; 	 y_73 =  -1172.0000 + 0.5667x		interpolation 
2220 <= x < 2250; 	 y_74 =  12.0000 + 0.0333x		interpolation 
2250 <= x < 2280; 	 y_75 =  1662.0000 + -0.7000x		interpolation 
2280 <= x < 2310; 	 y_76 =  -86.0000 + 0.0667x		interpolation 
2310 <= x < 2340; 	 y_77 =  145.0000 + -0.0333x		interpolation 
2340 <= x < 2370; 	 y_78 =  -557.0000 + 0.2667x		interpolation 
2370 <= x < 2400; 	 y_79 =  -952.0000 + 0.4333x		interpolation 
2400 <= x < 2430; 	 y_80 =  1368.0000 + -0.5333x		interpolation 
2430 <= x < 2460; 	 y_81 =  -1143.0000 + 0.5000x		interpolation 
2460 <= x < 2490; 	 y_82 =  415.0000 + -0.1333x		interpolation 
2490 <= x < 2520; 	 y_83 =  -249.0000 + 0.1333x		interpolation 
2520 <= x < 2550; 	 y_84 =  423.0000 + -0.1333x		interpolation 
2550 <= x < 2580; 	 y_85 =  -427.0000 + 0.2000x		interpolation 
2580 <= x < 2610; 	 y_86 =  1551.0000 + -0.5667x		interpolation 
2610 <= x < 2640; 	 y_87 =  -1059.0000 + 0.4333x		interpolation 
2640 <= x < 2670; 	 y_88 =  525.0000 + -0.1667x		interpolation 
2670 <= x < 2700; 	 y_89 =  -543.0000 + 0.2333x		interpolation 
2700 <= x < 2730; 	 y_90 =  627.0000 + -0.2000x		interpolation 
2730 <= x < 2760; 	 y_91 =  1173.0000 + -0.4000x		interpolation 
2760 <= x < 2790; 	 y_92 =  -1587.0000 + 0.6000x		interpolation 
2790 <= x < 2820; 	 y_93 =  1854.0000 + -0.6333x		interpolation 
2820 <= x < 2850; 	 y_94 =  -1248.0000 + 0.4667x		interpolation 
2850 <= x < 2880; 	 y_95 =  1412.0000 + -0.4667x		interpolation 
2880 <= x < 2910; 	 y_96 =  -220.0000 + 0.1000x		interpolation 
2910 <= x < 2940; 	 y_97 =  265.0000 + -0.0667x		interpolation 
2940 <= x < 2970; 	 y_98 =  -127.0000 + 0.0667x		interpolation 
2970 <= x < 3000; 	 y_99 =  -1612.0000 + 0.5667x		interpolation 
3000 <= x < 3030; 	 y_100 =  1888.0000 + -0.6000x		interpolation 
3030 <= x < 3060; 	 y_101 =  -1041.0000 + 0.3667x		interpolation 
3060 <= x < 3090; 	 y_102 =  897.0000 + -0.2667x		interpolation 
3090 <= x < 3120; 	 y_103 =  -1369.0000 + 0.4667x		interpolation 
3120 <= x < 3150; 	 y_104 =  399.0000 + -0.1000x		interpolation 
3150 <= x < 3180; 	 y_105 =  1554.0000 + -0.4667x		interpolation 
3180 <= x < 3210; 	 y_106 =  -36.0000 + 0.0333x		interpolation 
3210 <= x < 3240; 	 y_107 =  606.0000 + -0.1667x		interpolation 
3240 <= x < 3270; 	 y_108 =  -474.0000 + 0.1667x		interpolation 
3270 <= x < 3300; 	 y_109 =  -1564.0000 + 0.5000x		interpolation 
3300 <= x < 3330; 	 y_110 =  86.0000 + 0.0000x		interpolation 
3330 <= x < 3360; 	 y_111 =  1862.0000 + -0.5333x		interpolation 
3360 <= x < 3390; 	 y_112 =  -1498.0000 + 0.4667x		interpolation 
3390 <= x < 3420; 	 y_113 =  -368.0000 + 0.1333x		interpolation 
3420 <= x < 3450; 	 y_114 =  658.0000 + -0.1667x		interpolation 
3450 <= x < 3480; 	 y_115 =  1463.0000 + -0.4000x		interpolation 
3480 <= x < 3510; 	 y_116 =  -45.0000 + 0.0333x		interpolation 
3510 <= x < 3540; 	 y_117 =  423.0000 + -0.1000x		interpolation 
3540 <= x < 3570; 	 y_118 =  -167.0000 + 0.0667x		interpolation 
3570 <= x < 3600; 	 y_119 =  309.0000 + -0.0667x		interpolation 
3600 <= x < 3630; 	 y_120 =  -411.0000 + 0.1333x		interpolation 
3630 <= x < 3660; 	 y_121 =  -774.0000 + 0.2333x		interpolation 
3660 <= x < 3690; 	 y_122 =  1056.0000 + -0.2667x		interpolation 
3690 <= x < 3720; 	 y_123 =  318.0000 + -0.0667x		interpolation 
3720 <= x < 3750; 	 y_124 =  -178.0000 + 0.0667x		interpolation 
3750 <= x < 3780; 	 y_125 =  -1178.0000 + 0.3333x		interpolation 
3780 <= x < 3810; 	 y_126 =  1342.0000 + -0.3333x		interpolation 
3810 <= x < 3840; 	 y_127 =  199.0000 + -0.0333x		interpolation 
3840 <= x < 3870; 	 y_128 =  -57.0000 + 0.0333x		interpolation 
3870 <= x < 3900; 	 y_129 =  -2121.0000 + 0.5667x		interpolation 
3900 <= x < 3930; 	 y_130 =  1259.0000 + -0.3000x		interpolation 
3930 <= x < 3960; 	 y_131 =  1783.0000 + -0.4333x		interpolation 
3960 <= x < 3990; 	 y_132 =  -725.0000 + 0.2000x		interpolation 
3990 <= x < 4020; 	 y_133 =  -2055.0000 + 0.5333x		interpolation 
4020 <= x < 4050; 	 y_134 =  2367.0000 + -0.5667x		interpolation 
4050 <= x < 4080; 	 y_135 =  207.0000 + -0.0333x		interpolation 
4080 <= x < 4110; 	 y_136 =  -201.0000 + 0.0667x		interpolation 
4110 <= x < 4140; 	 y_137 =  347.0000 + -0.0667x		interpolation 
4140 <= x < 4170; 	 y_138 =  -895.0000 + 0.2333x		interpolation 
4170 <= x < 4200; 	 y_139 =  -1312.0000 + 0.3333x		interpolation 
4200 <= x < 4230; 	 y_140 =  2188.0000 + -0.5000x		interpolation 
4230 <= x < 4260; 	 y_141 =  496.0000 + -0.1000x		interpolation 
4260 <= x < 4290; 	 y_142 =  -1776.0000 + 0.4333x		interpolation 
4290 <= x < 4320; 	 y_143 =  -632.0000 + 0.1667x		interpolation 
4320 <= x < 4350; 	 y_144 =  1240.0000 + -0.2667x		interpolation 
4350 <= x < 4380; 	 y_145 =  1385.0000 + -0.3000x		interpolation 
4380 <= x < 4410; 	 y_146 =  -1243.0000 + 0.3000x		interpolation 
4410 <= x < 4440; 	 y_147 =  -802.0000 + 0.2000x		interpolation 
4440 <= x < 4470; 	 y_148 =  2750.0000 + -0.6000x		interpolation 
4470 <= x < 4500; 	 y_149 =  -3210.0000 + 0.7333x		interpolation 
4500 <= x < 4530; 	 y_150 =  2940.0000 + -0.6333x		interpolation 
4530 <= x < 4560; 	 y_151 =  -231.0000 + 0.0667x		interpolation 
4560 <= x < 4590; 	 y_152 =  -2207.0000 + 0.5000x		interpolation 
4590 <= x < 4620; 	 y_153 =  2536.0000 + -0.5333x		interpolation 
4620 <= x < 4650; 	 y_154 =  226.0000 + -0.0333x		interpolation 
4650 <= x < 4680; 	 y_155 =  226.0000 + -0.0333x		interpolation 
4680 <= x < 4710; 	 y_156 =  -86.0000 + 0.0333x		interpolation 
4710 <= x < 4740; 	 y_157 =  699.0000 + -0.1333x		interpolation 
4740 <= x < 4770; 	 y_158 =  -2777.0000 + 0.6000x		interpolation 
4770 <= x < 4800; 	 y_159 =  2311.0000 + -0.4667x		interpolation 
4800 <= x < 4830; 	 y_160 =  -89.0000 + 0.0333x		interpolation 
4830 <= x < 4860; 	 y_161 =  -2665.0000 + 0.5667x		interpolation 
4860 <= x < 4890; 	 y_162 =  2843.0000 + -0.5667x		interpolation 
4890 <= x < 4920; 	 y_163 =  -2699.0000 + 0.5667x		interpolation 
4920 <= x < 4950; 	 y_164 =  581.0000 + -0.1000x		interpolation 
4950 <= x < 4980; 	 y_165 =  2396.0000 + -0.4667x		interpolation 
4980 <= x < 5010; 	 y_166 =  72.0000 + 0.0000x		interpolation 
5010 <= x < 5040; 	 y_167 =  -2934.0000 + 0.6000x		interpolation 
5040 <= x < 5070; 	 y_168 =  2946.0000 + -0.5667x		interpolation 
5070 <= x < 5100; 	 y_169 =  -2800.0000 + 0.5667x		interpolation 
5100 <= x < 5130; 	 y_170 =  1110.0000 + -0.2000x		interpolation 
5130 <= x < 5160; 	 y_171 =  2307.0000 + -0.4333x		interpolation 
5160 <= x < 5190; 	 y_172 =  -101.0000 + 0.0333x		interpolation 
5190 <= x < 5220; 	 y_173 =  -3042.0000 + 0.6000x		interpolation 
5220 <= x < 5250; 	 y_174 =  612.0000 + -0.1000x		interpolation 
5250 <= x < 5280; 	 y_175 =  2712.0000 + -0.5000x		interpolation 
5280 <= x < 5310; 	 y_176 =  -104.0000 + 0.0333x		interpolation 
5310 <= x < 5340; 	 y_177 =  -2582.0000 + 0.5000x		interpolation 
5340 <= x < 5370; 	 y_178 =  1334.0000 + -0.2333x		interpolation 
5370 <= x < 5400; 	 y_179 =  1692.0000 + -0.3000x		interpolation 
5400 <= x < 5430; 	 y_180 =  -108.0000 + 0.0333x		interpolation 
5430 <= x < 5460; 	 y_181 =  -2823.0000 + 0.5333x		interpolation 
5460 <= x < 5490; 	 y_182 =  -93.0000 + 0.0333x		interpolation 
5490 <= x < 5520; 	 y_183 =  3384.0000 + -0.6000x		interpolation 
5520 <= x < 5550; 	 y_184 =  -112.0000 + 0.0333x		interpolation 
5550 <= x < 5580; 	 y_185 =  -2332.0000 + 0.4333x		interpolation 
5580 <= x < 5610; 	 y_186 =  2132.0000 + -0.3667x		interpolation 
5610 <= x < 5640; 	 y_187 =  -2543.0000 + 0.4667x		interpolation 
5640 <= x < 5670; 	 y_188 =  2909.0000 + -0.5000x		interpolation 
5670 <= x < 5700; 	 y_189 =  -2761.0000 + 0.5000x		interpolation 
5700 <= x < 5730; 	 y_190 =  1419.0000 + -0.2333x		interpolation 
5730 <= x < 5760; 	 y_191 =  2183.0000 + -0.3667x		interpolation 
5760 <= x < 5790; 	 y_192 =  -697.0000 + 0.1333x		interpolation 
5790 <= x < 5820; 	 y_193 =  -2241.0000 + 0.4000x		interpolation 
5820 <= x < 5850; 	 y_194 =  2609.0000 + -0.4333x		interpolation 
5850 <= x < 5880; 	 y_195 =  -1876.0000 + 0.3333x		interpolation 
5880 <= x < 5910; 	 y_196 =  -504.0000 + 0.1000x		interpolation 
5910 <= x < 5940; 	 y_197 =  3042.0000 + -0.5000x		interpolation 
5940 <= x < 5970; 	 y_198 =  -126.0000 + 0.0333x		interpolation 
5970 <= x < 6000; 	 y_199 =  -2912.0000 + 0.5000x		interpolation 
6000 <= x < 6030; 	 y_200 =  888.0000 + -0.1333x		interpolation 
6030 <= x < 6060; 	 y_201 =  2697.0000 + -0.4333x		interpolation 
6060 <= x < 6090; 	 y_202 =  -2353.0000 + 0.4000x		interpolation 
6090 <= x < 6120; 	 y_203 =  -526.0000 + 0.1000x		interpolation 
6120 <= x < 6150; 	 y_204 =  2738.0000 + -0.4333x		interpolation 
6150 <= x < 6180; 	 y_205 =  278.0000 + -0.0333x		interpolation 
6180 <= x < 6210; 	 y_206 =  278.0000 + -0.0333x		interpolation 
6210 <= x < 6240; 	 y_207 =  -3448.0000 + 0.5667x		interpolation 
6240 <= x < 6270; 	 y_208 =  1752.0000 + -0.2667x		interpolation 
6270 <= x < 6300; 	 y_209 =  3633.0000 + -0.5667x		interpolation 
6300 <= x < 6330; 	 y_210 =  -1827.0000 + 0.3000x		interpolation 
6330 <= x < 6360; 	 y_211 =  705.0000 + -0.1000x		interpolation 
6360 <= x < 6390; 	 y_212 =  -779.0000 + 0.1333x		interpolation 
6390 <= x < 6420; 	 y_213 =  -2696.0000 + 0.4333x		interpolation 
6420 <= x < 6450; 	 y_214 =  2868.0000 + -0.4333x		interpolation 
6450 <= x < 6480; 	 y_215 =  -2722.0000 + 0.4333x		interpolation 
6480 <= x < 6510; 	 y_216 =  734.0000 + -0.1000x		interpolation 
6510 <= x < 6540; 	 y_217 =  2687.0000 + -0.4000x		interpolation 
6540 <= x < 6570; 	 y_218 =  -801.0000 + 0.1333x		interpolation 
6570 <= x < 6600; 	 y_219 =  732.0000 + -0.1000x		interpolation 
6600 <= x < 6630; 	 y_220 =  292.0000 + -0.0333x		interpolation 
6630 <= x < 6660; 	 y_221 =  -2581.0000 + 0.4000x		interpolation 
6660 <= x < 6690; 	 y_222 =  527.0000 + -0.0667x		interpolation 
6690 <= x < 6720; 	 y_223 =  2311.0000 + -0.3333x		interpolation 
6720 <= x < 6750; 	 y_224 =  -825.0000 + 0.1333x		interpolation 
6750 <= x < 6780; 	 y_225 =  525.0000 + -0.0667x		interpolation 
6780 <= x < 6810; 	 y_226 =  -1509.0000 + 0.2333x		interpolation 
6810 <= x < 6840; 	 y_227 =  -1736.0000 + 0.2667x		interpolation 
6840 <= x < 6870; 	 y_228 =  2824.0000 + -0.4000x		interpolation 
6870 <= x < 6900; 	 y_229 =  -2443.0000 + 0.3667x		interpolation 
6900 <= x < 6930; 	 y_230 =  3997.0000 + -0.5667x		interpolation 
6930 <= x < 6960; 	 y_231 =  -2933.0000 + 0.4333x		interpolation 
6960 <= x < 6990; 	 y_232 =  83.0000 + 0.0000x		interpolation 
6990 <= x < 7020; 	 y_233 =  2879.0000 + -0.4000x		interpolation 
7020 <= x < 7050; 	 y_234 =  -3205.0000 + 0.4667x		interpolation 
7050 <= x < 7080; 	 y_235 =  555.0000 + -0.0667x		interpolation 
7080 <= x < 7110; 	 y_236 =  -861.0000 + 0.1333x		interpolation 
7110 <= x < 7140; 	 y_237 =  -624.0000 + 0.1000x		interpolation 
7140 <= x < 7170; 	 y_238 =  1280.0000 + -0.1667x		interpolation 
7170 <= x < 7200; 	 y_239 =  -632.0000 + 0.1000x		interpolation 
7200 <= x < 7230; 	 y_240 =  -152.0000 + 0.0333x		interpolation 
7230 <= x < 7260; 	 y_241 =  4427.0000 + -0.6000x		interpolation 
7260 <= x < 7290; 	 y_242 =  -171.0000 + 0.0333x		interpolation 
7290 <= x < 7320; 	 y_243 =  -3330.0000 + 0.4667x		interpolation 
7320 <= x < 7350; 	 y_244 =  -402.0000 + 0.0667x		interpolation 
7350 <= x < 7380; 	 y_245 =  4253.0000 + -0.5667x		interpolation 
7380 <= x < 7410; 	 y_246 =  -3373.0000 + 0.4667x		interpolation 
7410 <= x < 7440; 	 y_247 =  3543.0000 + -0.4667x		interpolation 
7440 <= x < 7470; 	 y_248 =  -4393.0000 + 0.6000x		interpolation 
7470 <= x < 7500; 	 y_249 =  4571.0000 + -0.6000x		interpolation 
7500 <= x < 7530; 	 y_250 =  71.0000 + 0.0000x		interpolation 
7530 <= x < 7560; 	 y_251 =  71.0000 + 0.0000x		interpolation 
7560 <= x < 7590; 	 y_252 =  -3709.0000 + 0.5000x		interpolation 
7590 <= x < 7620; 	 y_253 =  -167.0000 + 0.0333x		interpolation 
7620 <= x < 7650; 	 y_254 =  1103.0000 + -0.1333x		interpolation 
7650 <= x < 7680; 	 y_255 =  3143.0000 + -0.4000x		interpolation 
7680 <= x < 7710; 	 y_256 =  -185.0000 + 0.0333x		interpolation 
7710 <= x < 7740; 	 y_257 =  -3783.0000 + 0.5000x		interpolation 
7740 <= x < 7770; 	 y_258 =  861.0000 + -0.1000x		interpolation 
7770 <= x < 7800; 	 y_259 =  3451.0000 + -0.4333x		interpolation 
7800 <= x < 7830; 	 y_260 =  71.0000 + 0.0000x		interpolation 
7830 <= x < 7860; 	 y_261 =  -3844.0000 + 0.5000x		interpolation 
7860 <= x < 7890; 	 y_262 =  872.0000 + -0.1000x		interpolation 
7890 <= x < 7920; 	 y_263 =  -706.0000 + 0.1000x		interpolation 
7920 <= x < 7950; 	 y_264 =  350.0000 + -0.0333x		interpolation 
7950 <= x < 7980; 	 y_265 =  -710.0000 + 0.1000x		interpolation 
7980 <= x < 8010; 	 y_266 =  886.0000 + -0.1000x		interpolation 
8010 <= x < 8040; 	 y_267 =  3556.0000 + -0.4333x		interpolation 
8040 <= x < 8070; 	 y_268 =  -196.0000 + 0.0333x		interpolation 
8070 <= x < 8100; 	 y_269 =  -3155.0000 + 0.4000x		interpolation 
8100 <= x < 8130; 	 y_270 =  -725.0000 + 0.1000x		interpolation 
8130 <= x < 8160; 	 y_271 =  4695.0000 + -0.5667x		interpolation 
8160 <= x < 8190; 	 y_272 =  -473.0000 + 0.0667x		interpolation 
8190 <= x < 8220; 	 y_273 =  -5114.0000 + 0.6333x		interpolation 
8220 <= x < 8250; 	 y_274 =  2558.0000 + -0.3000x		interpolation 
8250 <= x < 8280; 	 y_275 =  3108.0000 + -0.3667x		interpolation 
8280 <= x < 8310; 	 y_276 =  72.0000 + 0.0000x		interpolation 
8310 <= x < 8340; 	 y_277 =  -4914.0000 + 0.6000x		interpolation 
8340 <= x < 8370; 	 y_278 =  1758.0000 + -0.2000x		interpolation 
8370 <= x < 8400; 	 y_279 =  3711.0000 + -0.4333x		interpolation 
8400 <= x < 8430; 	 y_280 =  -209.0000 + 0.0333x		interpolation 
8430 <= x < 8460; 	 y_281 =  -5267.0000 + 0.6333x		interpolation 
8460 <= x < 8490; 	 y_282 =  937.0000 + -0.1000x		interpolation 
8490 <= x < 8520; 	 y_283 =  4899.0000 + -0.5667x		interpolation 
8520 <= x < 8550; 	 y_284 =  -497.0000 + 0.0667x		interpolation 
8550 <= x < 8580; 	 y_285 =  -3632.0000 + 0.4333x		interpolation 
8580 <= x < 8610; 	 y_286 =  658.0000 + -0.0667x		interpolation 
8610 <= x < 8640; 	 y_287 =  4676.0000 + -0.5333x		interpolation 
8640 <= x < 8670; 	 y_288 =  -1372.0000 + 0.1667x		interpolation 
8670 <= x < 8700; 	 y_289 =  73.0000 + 0.0000x		interpolation 
8700 <= x < 8730; 	 y_290 =  363.0000 + -0.0333x		interpolation 
8730 <= x < 8760; 	 y_291 =  -4584.0000 + 0.5333x		interpolation 
8760 <= x < 8790; 	 y_292 =  1548.0000 + -0.1667x		interpolation 
8790 <= x < 8820; 	 y_293 =  -1968.0000 + 0.2333x		interpolation 
8820 <= x < 8850; 	 y_294 =  1560.0000 + -0.1667x		interpolation 
8850 <= x < 8880; 	 y_295 =  4805.0000 + -0.5333x		interpolation 
8880 <= x < 8910; 	 y_296 =  -1115.0000 + 0.1333x		interpolation 
8910 <= x < 8940; 	 y_297 =  -4085.0000 + 0.4667x		interpolation 
8940 <= x < 8970; 	 y_298 =  1577.0000 + -0.1667x		interpolation 
8970 <= x < 9000; 	 y_299 =  381.0000 + -0.0333x		interpolation 
9000 <= x < 9030; 	 y_300 =  -1119.0000 + 0.1333x		interpolation 
9030 <= x < 9060; 	 y_301 =  4901.0000 + -0.5333x		interpolation 
9060 <= x < 9090; 	 y_302 =  -837.0000 + 0.1000x		interpolation 
9090 <= x < 9120; 	 y_303 =  -4473.0000 + 0.5000x		interpolation 
9120 <= x < 9150; 	 y_304 =  1303.0000 + -0.1333x		interpolation 
9150 <= x < 9180; 	 y_305 =  3438.0000 + -0.3667x		interpolation 
9180 <= x < 9210; 	 y_306 =  -3600.0000 + 0.4000x		interpolation 
9210 <= x < 9240; 	 y_307 =  4689.0000 + -0.5000x		interpolation 
9240 <= x < 9270; 	 y_308 =  -3319.0000 + 0.3667x		interpolation 
9270 <= x < 9300; 	 y_309 =  -538.0000 + 0.0667x		interpolation 
9300 <= x < 9330; 	 y_310 =  1012.0000 + -0.1000x		interpolation 
9330 <= x < 9360; 	 y_311 =  -2409.0000 + 0.2667x		interpolation 
9360 <= x < 9390; 	 y_312 =  1335.0000 + -0.1333x		interpolation 
9390 <= x < 9420; 	 y_313 =  4152.0000 + -0.4333x		interpolation 
9420 <= x < 9450; 	 y_314 =  -4954.0000 + 0.5333x		interpolation 
9450 <= x < 9480; 	 y_315 =  1661.0000 + -0.1667x		interpolation 
9480 <= x < 9510; 	 y_316 =  397.0000 + -0.0333x		interpolation 
9510 <= x < 9540; 	 y_317 =  -554.0000 + 0.0667x		interpolation 
9540 <= x < 9570; 	 y_318 =  -554.0000 + 0.0667x		interpolation 
9570 <= x < 9600; 	 y_319 =  -1511.0000 + 0.1667x		interpolation 
9600 <= x < 9630; 	 y_320 =  5849.0000 + -0.6000x		interpolation 
9630 <= x < 9660; 	 y_321 =  -2818.0000 + 0.3000x		interpolation 
9660 <= x < 9690; 	 y_322 =  1690.0000 + -0.1667x		interpolation 
9690 <= x < 9720; 	 y_323 =  1690.0000 + -0.1667x		interpolation 
9720 <= x < 9750; 	 y_324 =  -1226.0000 + 0.1333x		interpolation 
9750 <= x < 9780; 	 y_325 =  1049.0000 + -0.1000x		interpolation 
9780 <= x < 9810; 	 y_326 =  723.0000 + -0.0667x		interpolation 
9810 <= x < 9840; 	 y_327 =  -5163.0000 + 0.5333x		interpolation 
9840 <= x < 9870; 	 y_328 =  4021.0000 + -0.4000x		interpolation 
9870 <= x < 9900; 	 y_329 =  1060.0000 + -0.1000x		interpolation 
9900 <= x < 9930; 	 y_330 =  -920.0000 + 0.1000x		interpolation 
9930 <= x < 9960; 	 y_331 =  -1582.0000 + 0.1667x		interpolation 
9960 <= x < 9990; 	 y_332 =  1738.0000 + -0.1667x		interpolation 
9990 <= x < 10020; 	 y_333 =  -4589.0000 + 0.4667x		interpolation 
10020 <= x < 10050; 	 y_334 =  5097.0000 + -0.5000x		interpolation 
10050 <= x < 10080; 	 y_335 =  407.0000 + -0.0333x		interpolation 
10080 <= x < 10110; 	 y_336 =  -2953.0000 + 0.3000x		interpolation 
10110 <= x < 10140; 	 y_337 =  -2953.0000 + 0.3000x		interpolation 
10140 <= x < 10170; 	 y_338 =  5497.0000 + -0.5333x		interpolation 
10170 <= x < 10200; 	 y_339 =  -2978.0000 + 0.3000x		interpolation 
10200 <= x < 10230; 	 y_340 =  1102.0000 + -0.1000x		interpolation 
10230 <= x < 10260; 	 y_341 =  -944.0000 + 0.1000x		interpolation 
10260 <= x < 10290; 	 y_342 =  2134.0000 + -0.2000x		interpolation 
10290 <= x < 10320; 	 y_343 =  -2668.0000 + 0.2667x		interpolation 
10320 <= x < 10350; 	 y_344 =  1460.0000 + -0.1333x		interpolation 
10350 <= x < 10380; 	 y_345 =  3185.0000 + -0.3000x		interpolation 
10380 <= x < 10410; 	 y_346 =  763.0000 + -0.0667x		interpolation 
10410 <= x < 10440; 	 y_347 =  -5483.0000 + 0.5333x		interpolation 
10440 <= x < 10470; 	 y_348 =  4957.0000 + -0.4667x		interpolation 
