0 <= x < 18870; y = 34.752985 + 0.011669x; least-squares 
 0 <= x < 30; 	 y_0 =  80.0000 + -0.5000x		interpolation 
6480 <= x < 6510; 	 y_216 =  730.0000 + -0.1000x		interpolation 
6510 <= x < 6540; 	 y_217 =  2900.0000 + -0.4333x		interpolation 
6540 <= x < 6570; 	 y_218 =  -152.0000 + 0.0333x		interpolation 
6570 <= x < 6600; 	 y_219 =  286.0000 + -0.0333x		interpolation 
6600 <= x < 6630; 	 y_220 =  -374.0000 + 0.0667x		interpolation 
6630 <= x < 6660; 	 y_221 =  -2142.0000 + 0.3333x		interpolation 
6660 <= x < 6690; 	 y_222 =  -144.0000 + 0.0333x		interpolation 
6690 <= x < 6720; 	 y_223 =  3424.0000 + -0.5000x		interpolation 
6720 <= x < 6750; 	 y_224 =  -1280.0000 + 0.2000x		interpolation 
6750 <= x < 6780; 	 y_225 =  -2180.0000 + 0.3333x		interpolation 
6780 <= x < 6810; 	 y_226 =  1436.0000 + -0.2000x		interpolation 
6810 <= x < 6840; 	 y_227 =  -2196.0000 + 0.3333x		interpolation 
6840 <= x < 6870; 	 y_228 =  2592.0000 + -0.3667x		interpolation 
6870 <= x < 6900; 	 y_229 =  -1759.0000 + 0.2667x		interpolation 
6900 <= x < 6930; 	 y_230 =  3761.0000 + -0.5333x		interpolation 
6930 <= x < 6960; 	 y_231 =  -4093.0000 + 0.6000x		interpolation 
6960 <= x < 6990; 	 y_232 =  83.0000 + 0.0000x		interpolation 
6990 <= x < 7020; 	 y_233 =  4044.0000 + -0.5667x		interpolation 
7020 <= x < 7050; 	 y_234 =  -3444.0000 + 0.5000x		interpolation 
7050 <= x < 7080; 	 y_235 =  -859.0000 + 0.1333x		interpolation 
7080 <= x < 7110; 	 y_236 =  85.0000 + 0.0000x		interpolation 
7110 <= x < 7140; 	 y_237 =  1270.0000 + -0.1667x		interpolation 
7140 <= x < 7170; 	 y_238 =  -634.0000 + 0.1000x		interpolation 
7170 <= x < 7200; 	 y_239 =  -873.0000 + 0.1333x		interpolation 
7200 <= x < 7230; 	 y_240 =  1287.0000 + -0.1667x		interpolation 
7230 <= x < 7260; 	 y_241 =  4420.0000 + -0.6000x		interpolation 
7260 <= x < 7290; 	 y_242 =  -420.0000 + 0.0667x		interpolation 
7290 <= x < 7320; 	 y_243 =  -3093.0000 + 0.4333x		interpolation 
7320 <= x < 7350; 	 y_244 =  -897.0000 + 0.1333x		interpolation 
7350 <= x < 7380; 	 y_245 =  4248.0000 + -0.5667x		interpolation 
7380 <= x < 7410; 	 y_246 =  -4116.0000 + 0.5667x		interpolation 
7410 <= x < 7440; 	 y_247 =  4035.0000 + -0.5333x		interpolation 
7440 <= x < 7470; 	 y_248 =  -4397.0000 + 0.6000x		interpolation 
7470 <= x < 7500; 	 y_249 =  5065.0000 + -0.6667x		interpolation 
7500 <= x < 7530; 	 y_250 =  565.0000 + -0.0667x		interpolation 
7530 <= x < 7560; 	 y_251 =  -439.0000 + 0.0667x		interpolation 
7560 <= x < 7590; 	 y_252 =  -3715.0000 + 0.5000x		interpolation 
7590 <= x < 7620; 	 y_253 =  -932.0000 + 0.1333x		interpolation 
7620 <= x < 7650; 	 y_254 =  592.0000 + -0.0667x		interpolation 
7650 <= x < 7680; 	 y_255 =  4162.0000 + -0.5333x		interpolation 
7680 <= x < 7710; 	 y_256 =  66.0000 + 0.0000x		interpolation 
7710 <= x < 7740; 	 y_257 =  -4303.0000 + 0.5667x		interpolation 
7740 <= x < 7770; 	 y_258 =  -175.0000 + 0.0333x		interpolation 
7770 <= x < 7800; 	 y_259 =  4746.0000 + -0.6000x		interpolation 
7800 <= x < 7830; 	 y_260 =  326.0000 + -0.0333x		interpolation 
7830 <= x < 7860; 	 y_261 =  -4372.0000 + 0.5667x		interpolation 
7860 <= x < 7890; 	 y_262 =  -180.0000 + 0.0333x		interpolation 
7890 <= x < 7920; 	 y_263 =  83.0000 + 0.0000x		interpolation 
7920 <= x < 7950; 	 y_264 =  611.0000 + -0.0667x		interpolation 
7950 <= x < 7980; 	 y_265 =  -184.0000 + 0.0333x		interpolation 
7980 <= x < 8010; 	 y_266 =  -450.0000 + 0.0667x		interpolation 
8010 <= x < 8040; 	 y_267 =  4890.0000 + -0.6000x		interpolation 
8040 <= x < 8070; 	 y_268 =  1138.0000 + -0.1333x		interpolation 
8070 <= x < 8100; 	 y_269 =  -5856.0000 + 0.7333x		interpolation 
8100 <= x < 8130; 	 y_270 =  84.0000 + 0.0000x		interpolation 
8130 <= x < 8160; 	 y_271 =  5233.0000 + -0.6333x		interpolation 
8160 <= x < 8190; 	 y_272 =  -751.0000 + 0.1000x		interpolation 
8190 <= x < 8220; 	 y_273 =  -4846.0000 + 0.6000x		interpolation 
8220 <= x < 8250; 	 y_274 =  2278.0000 + -0.2667x		interpolation 
8250 <= x < 8280; 	 y_275 =  3378.0000 + -0.4000x		interpolation 
8280 <= x < 8310; 	 y_276 =  66.0000 + 0.0000x		interpolation 
8310 <= x < 8340; 	 y_277 =  -5197.0000 + 0.6333x		interpolation 
8340 <= x < 8370; 	 y_278 =  641.0000 + -0.0667x		interpolation 
8370 <= x < 8400; 	 y_279 =  4826.0000 + -0.5667x		interpolation 
8400 <= x < 8430; 	 y_280 =  -494.0000 + 0.0667x		interpolation 
8430 <= x < 8460; 	 y_281 =  -5271.0000 + 0.6333x		interpolation 
8460 <= x < 8490; 	 y_282 =  933.0000 + -0.1000x		interpolation 
8490 <= x < 8520; 	 y_283 =  5178.0000 + -0.6000x		interpolation 
8520 <= x < 8550; 	 y_284 =  -786.0000 + 0.1000x		interpolation 
8550 <= x < 8580; 	 y_285 =  -2781.0000 + 0.3333x		interpolation 
8580 <= x < 8610; 	 y_286 =  -1065.0000 + 0.1333x		interpolation 
8610 <= x < 8640; 	 y_287 =  4962.0000 + -0.5667x		interpolation 
8640 <= x < 8670; 	 y_288 =  -510.0000 + 0.0667x		interpolation 
8670 <= x < 8700; 	 y_289 =  -221.0000 + 0.0333x		interpolation 
8700 <= x < 8730; 	 y_290 =  649.0000 + -0.0667x		interpolation 
8730 <= x < 8760; 	 y_291 =  -4589.0000 + 0.5333x		interpolation 
8760 <= x < 8790; 	 y_292 =  1835.0000 + -0.2000x		interpolation 
8790 <= x < 8820; 	 y_293 =  -2853.0000 + 0.3333x		interpolation 
8820 <= x < 8850; 	 y_294 =  1851.0000 + -0.2000x		interpolation 
8850 <= x < 8880; 	 y_295 =  4506.0000 + -0.5000x		interpolation 
8880 <= x < 8910; 	 y_296 =  -526.0000 + 0.0667x		interpolation 
8910 <= x < 8940; 	 y_297 =  -4981.0000 + 0.5667x		interpolation 
8940 <= x < 8970; 	 y_298 =  1873.0000 + -0.2000x		interpolation 
8970 <= x < 9000; 	 y_299 =  1275.0000 + -0.1333x		interpolation 
9000 <= x < 9030; 	 y_300 =  -2025.0000 + 0.2333x		interpolation 
9030 <= x < 9060; 	 y_301 =  5500.0000 + -0.6000x		interpolation 
9060 <= x < 9090; 	 y_302 =  -540.0000 + 0.0667x		interpolation 
9090 <= x < 9120; 	 y_303 =  -5388.0000 + 0.6000x		interpolation 
9120 <= x < 9150; 	 y_304 =  388.0000 + -0.0333x		interpolation 
9150 <= x < 9180; 	 y_305 =  4658.0000 + -0.5000x		interpolation 
9180 <= x < 9210; 	 y_306 =  -2380.0000 + 0.2667x		interpolation 
9210 <= x < 9240; 	 y_307 =  3146.0000 + -0.3333x		interpolation 
9240 <= x < 9270; 	 y_308 =  -5170.0000 + 0.5667x		interpolation 
9270 <= x < 9300; 	 y_309 =  392.0000 + -0.0333x		interpolation 
9300 <= x < 9330; 	 y_310 =  1012.0000 + -0.1000x		interpolation 
9330 <= x < 9360; 	 y_311 =  -1476.0000 + 0.1667x		interpolation 
9360 <= x < 9390; 	 y_312 =  2268.0000 + -0.2333x		interpolation 
9390 <= x < 9420; 	 y_313 =  4146.0000 + -0.4333x		interpolation 
9420 <= x < 9450; 	 y_314 =  -5902.0000 + 0.6333x		interpolation 
9450 <= x < 9480; 	 y_315 =  4493.0000 + -0.4667x		interpolation 
9480 <= x < 9510; 	 y_316 =  -3091.0000 + 0.3333x		interpolation 
9510 <= x < 9540; 	 y_317 =  -1506.0000 + 0.1667x		interpolation 
9540 <= x < 9570; 	 y_318 =  1356.0000 + -0.1333x		interpolation 
9570 <= x < 9600; 	 y_319 =  -877.0000 + 0.1000x		interpolation 
9600 <= x < 9630; 	 y_320 =  3603.0000 + -0.3667x		interpolation 
9630 <= x < 9660; 	 y_321 =  -3138.0000 + 0.3333x		interpolation 
9660 <= x < 9690; 	 y_322 =  1048.0000 + -0.1000x		interpolation 
9690 <= x < 9720; 	 y_323 =  4601.0000 + -0.4667x		interpolation 
9720 <= x < 9750; 	 y_324 =  -907.0000 + 0.1000x		interpolation 
9750 <= x < 9780; 	 y_325 =  1043.0000 + -0.1000x		interpolation 
9780 <= x < 9810; 	 y_326 =  -587.0000 + 0.0667x		interpolation 
9810 <= x < 9840; 	 y_327 =  -4838.0000 + 0.5000x		interpolation 
9840 <= x < 9870; 	 y_328 =  4674.0000 + -0.4667x		interpolation 
9870 <= x < 9900; 	 y_329 =  1055.0000 + -0.1000x		interpolation 
9900 <= x < 9930; 	 y_330 =  -1255.0000 + 0.1333x		interpolation 
9930 <= x < 9960; 	 y_331 =  -3903.0000 + 0.4000x		interpolation 
9960 <= x < 9990; 	 y_332 =  3733.0000 + -0.3667x		interpolation 
9990 <= x < 10020; 	 y_333 =  -2261.0000 + 0.2333x		interpolation 
10020 <= x < 10050; 	 y_334 =  4419.0000 + -0.4333x		interpolation 
10050 <= x < 10080; 	 y_335 =  -271.0000 + 0.0333x		interpolation 
10080 <= x < 10110; 	 y_336 =  -3295.0000 + 0.3333x		interpolation 
10110 <= x < 10140; 	 y_337 =  -599.0000 + 0.0667x		interpolation 
10140 <= x < 10170; 	 y_338 =  -261.0000 + 0.0333x		interpolation 
10170 <= x < 10200; 	 y_339 =  -1278.0000 + 0.1333x		interpolation 
10200 <= x < 10230; 	 y_340 =  3142.0000 + -0.3000x		interpolation 
10230 <= x < 10260; 	 y_341 =  -609.0000 + 0.0667x		interpolation 
10260 <= x < 10290; 	 y_342 =  759.0000 + -0.0667x		interpolation 
10290 <= x < 10320; 	 y_343 =  -2671.0000 + 0.2667x		interpolation 
10320 <= x < 10350; 	 y_344 =  2833.0000 + -0.2667x		interpolation 
10350 <= x < 10380; 	 y_345 =  3178.0000 + -0.3000x		interpolation 
10380 <= x < 10410; 	 y_346 =  64.0000 + 0.0000x		interpolation 
10410 <= x < 10440; 	 y_347 =  -6182.0000 + 0.6000x		interpolation 
10440 <= x < 10470; 	 y_348 =  6694.0000 + -0.6333x		interpolation 
